Date,AMZN,CAT,DE,EXC,GOOG,JNJ,JPM,META,PFE,PG
2014-01-02,19.898500442504883,66.477783203125,73.04705047607422,12.849114418029785,27.593387603759766,66.11084747314453,42.79933166503906,54.4533576965332,18.16954803466797,58.22050476074219
2014-01-03,19.82200050354004,66.44082641601562,73.37077331542969,12.589012145996094,27.392099380493164,66.70638275146484,43.13018798828125,54.3040657043457,18.205337524414062,58.155433654785156
2014-01-06,19.681499481201172,65.56795501708984,72.7637939453125,12.669405937194824,27.6975040435791,67.05498504638672,43.38018035888672,56.93168258666992,18.223234176635742,58.29278564453125
2014-01-07,19.901500701904297,65.78245544433594,73.08747100830078,12.735613822937012,28.231462478637695,68.47845458984375,42.880210876464844,57.64830017089844,18.336565017700195,58.85661697387695
2014-01-08,20.09600067138672,65.93780517578125,72.30247497558594,12.707244873046875,28.29021453857422,68.3840560913086,43.28459548950195,57.95684814453125,18.461830139160156,58.00362014770508
2014-01-09,20.050500869750977,66.35944366455078,72.01113891601562,12.782909393310547,28.017778396606445,68.79801940917969,43.20372772216797,56.95158767700195,18.449901580810547,58.133731842041016
2014-01-10,19.882999420166016,66.95122528076172,72.64237976074219,12.849114418029785,28.016292572021484,68.8052749633789,43.005191802978516,57.668209075927734,18.30674171447754,58.04698944091797
2014-01-13,19.548999786376953,66.49259948730469,72.4400634765625,12.759259223937988,27.837810516357422,68.63096618652344,42.424354553222656,55.647727966308594,18.21726417541504,57.837379455566406
2014-01-14,19.87700080871582,66.98818969726562,72.59383392333984,12.71669864654541,28.49274253845215,68.7907485961914,42.45377731323242,57.46915054321289,18.49165916442871,58.459049224853516
2014-01-15,19.793500900268555,68.35667419433594,72.67474365234375,12.65994644165039,28.473403930664062,68.84883880615234,43.74046325683594,57.329803466796875,18.599029541015625,58.401206970214844
2014-01-16,19.790000915527344,68.50555419921875,72.69905090332031,12.962615013122559,28.66180419921875,68.7326431274414,43.372840881347656,56.92172622680664,18.59306526184082,58.234962463378906
2014-01-17,19.980499267578125,68.0811767578125,72.31057739257812,12.863302230834961,28.520753860473633,69.03766632080078,42.725807189941406,56.0359001159668,18.54534149169922,57.7433967590332
2014-01-21,20.352500915527344,67.45576477050781,72.33485412597656,13.132867813110352,28.84722900390625,68.28961181640625,42.769920349121094,58.235530853271484,18.62885284423828,57.960269927978516
2014-01-22,20.226999282836914,66.7409896850586,71.75216674804688,13.303109169006348,28.87994956970215,68.5002212524414,42.34346389770508,57.2402229309082,18.65271759033203,57.7067985534668
2014-01-23,19.993499755859375,65.87730407714844,71.12092590332031,13.392963409423828,28.757986068725586,67.35276794433594,41.51997756958008,56.36435317993164,18.49762535095215,56.985740661621094
2014-01-24,19.3799991607666,64.15740203857422,69.2352294921875,13.369317054748535,27.8588809967041,65.80583953857422,40.50533676147461,54.19458770751953,17.948837280273438,57.670387268066406
2014-01-27,19.31399917602539,67.96949768066406,69.60752868652344,13.336217880249023,27.29864501953125,65.31927490234375,40.50533676147461,53.29880142211914,17.692340850830078,57.153263092041016
2014-01-28,19.721500396728516,68.84807586669922,70.07691192626953,13.288928031921387,27.838552474975586,65.43545532226562,40.98324203491211,54.88134002685547,18.14568519592285,57.6193962097168
2014-01-29,19.209999084472656,67.47066497802734,69.54277038574219,13.331486701965332,27.439695358276367,64.56395721435547,40.82884979248047,53.278892517089844,17.960765838623047,56.54874801635742
2014-01-30,20.15049934387207,69.39157104492188,70.06880950927734,13.709819793701172,28.145444869995117,64.99970245361328,41.174400329589844,60.79348373413086,18.384292602539062,55.987918853759766
2014-01-31,17.934499740600586,69.92021179199219,69.56707763671875,13.714553833007812,29.27533721923828,64.25167846679688,40.7038459777832,62.2764892578125,18.133747100830078,55.80582809448242
2014-02-03,17.3075008392334,68.81080627441406,68.61211395263672,13.70036506652832,28.096858978271484,63.0242919921875,39.93183517456055,61.19160079956055,18.25305938720703,55.1357307434082
2014-02-04,17.397499084472656,68.87040710449219,68.87915802001953,13.671988487243652,28.214111328125,62.90810012817383,40.40238952636719,62.45564270019531,18.75411605834961,55.4197883605957
2014-02-05,17.322500228881836,68.46833801269531,68.54733276367188,13.648340225219727,28.339048385620117,63.38740539550781,40.59356689453125,61.89826965332031,18.435335159301758,55.6819953918457
2014-02-06,17.72949981689453,69.86064147949219,69.13813018798828,13.946280479431152,28.7545166015625,64.45500946044922,41.527347564697266,61.86841583251953,18.549617767333984,56.00974655151367
2014-02-07,18.054000854492188,70.63497924804688,70.05261993408203,13.92263126373291,29.187829971313477,65.39189910888672,41.630271911621094,64.01828002929688,18.778179168701172,56.30836486816406
2014-02-10,18.043500900268555,70.35948181152344,70.7000961303711,13.903715133666992,29.076032638549805,66.13993072509766,41.718502044677734,63.25189208984375,18.928546905517578,56.83279800415039
2014-02-11,18.089500427246094,70.70197296142578,70.781005859375,13.936821937561035,29.503644943237305,67.5197982788086,42.225833892822266,64.54579162597656,19.17515754699707,57.42273712158203
2014-02-12,17.462499618530273,71.6028823852539,70.32781219482422,13.83167839050293,29.417131423950195,67.12037658691406,42.291996002197266,64.14767456054688,19.012754440307617,56.43949508666992
2014-02-13,17.860000610351562,71.55821228027344,69.4780502319336,14.051525115966797,29.744598388671875,67.2220458984375,42.666988372802734,67.01416015625,19.0668888092041,56.665279388427734
2014-02-14,17.86750030517578,71.88580322265625,69.46993255615234,14.21402359008789,29.816484451293945,67.36727905273438,42.75521469116211,66.77528381347656,19.211240768432617,57.83062744140625
